Year,Month, nominal_gdp_prices,real_gdp_growth,real_gdp_prices
2000,0,967838,0,982855
2001,0,1020022,3.8,1020111
2002,0,1035374,0.5,1025583
2003,0,1131783,2.9,1055658
2004,0,1274328,5.1,1109338
2005,0,1415823,5.7,1172784
2006,0,1622565,6.5,1249470
2007,0,1833511,6.9,1336849
2008,0,2107589,1.5,1357262
2009,0,3275642,2.7,5361462
2010,0,3597630,8.1,5793514
2011,0,4162514,5.1,6090206
2012,0,4767191,4.6,6368448
2013,0,5311322,3.8,6610312
2014,0,6003835,5,6942157
2015,0,6884317,5,7287024
2016,0,7594064,4.2,7594064
2017,0,8483396,3.8,7885521
2018,0,9340307,5.6,8330891
2019,0,10237727.34,5.1,8756945.578
2020,0,10715070,-0.3,8733060.298
2021,0,12027661.52,7.6,9395942.069
2022,0,13489641.52,4.9,9852582.884
2023,0,15108805.88,5.6,10399980.23
